id,ime,cena,1.registracija,Prevoženih,Gorivo,Menjalnik,Motor,Baterija,Starost
22788645,Audi A6 Avant 40 TDI Sport S tronic 3x S-Line ,24990.0,2019,162500 km,diesel motor,avtomatski menjalnik,"1968 ccm, 150 kW / 204 KM",,
22788618,Audi A7 3.0 TDI||Q||BI|TURBO||LUFT||MATRIX||HEAD||UP||20C,23950.0,2015,226214 km,diesel motor,avtomatski menjalnik,"2967 ccm, 235 kW / 320 KM",,
22706867,Audi A4 Avant 2.0 TDI ,10999.0,2016,209836 km,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",,
22788576,Audi Q7 quattro 3.0 TDI S Line°7 SEDEŽ°KAMERA°LED°PANORAMA,14990.0,2012,316430 km,diesel motor,avtomatski menjalnik,"2967 ccm, 180 kW / 245 KM",,
22788555,Audi A3 1.6 TDI S Line LED-NAVIGACIJA-18 COL-PDC-LEASING,9999.0,2016,245640 km,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",,
22788521,Audi A3 Limuzina 2.0TDI Advanced S tronic+MATRIX+LANE+NAVI,21970.0,2024,124277 km,diesel motor,avtomatski menjalnik,"1968 ccm, 85 kW / 116 KM",,
22788506,Audi A6 2.7  TDI EURO 5,3999.0,2008,350000 km,diesel motor,avtomatski menjalnik,"2698 ccm, 140 kW / 190 KM",,
22788502,Audi A3 2.0TDI-Sport-Acc-Led-D select-Key Go-M kot-Navi,13950.0,2017,199800 km,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",,
22788497,Audi A6 3.0 TDI LIMUZINA S-LINE XENON-GRETJE SEDEŽEV-NAVI,8850.0,2013,295797 km,diesel motor,ročni menjalnik,"2967 ccm, 150 kW / 204 KM",,
22788469,Audi RS Q3 Sportback RSQ3-SPORTBACK-1.LAST-VIRTUAL-MATRIX-NAVI-GRETJE,59990.0,2023,49900 km,bencinski motor,avtomatski menjalnik,"2480 ccm, 294 kW / 400 KM",,
22788448,Audi TT COUPE 2.0 TDI ultra+VIRTUAL+NAVI+XENON,17250.0,2016,199800 km,diesel motor,ročni menjalnik,"1968 ccm, 135 kW / 184 KM",,
22760950,Audi S7 Sportback TDI 4X4 |VIRTUAL|PANO|3D-KAM|HL-SED|MAX|,49990.0,2019,142127 km,diesel motor,avtomatski menjalnik,"2967 ccm, 257 kW / 349 KM",,
22780684,Audi RS3 Sportback quattro TFSI |VIRTUAL|BANG|RADAR|KAMERA|,42990.0,2022,131805 km,bencinski motor,avtomatski menjalnik,"2480 ccm, 294 kW / 400 KM",,
22724413,Audi RS Q8 quattro Tiptronic |PANO|RADAR|AERO|ALU23|ZRAK|TOP|,79990.0,2020,149321 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22304534,Audi Q8 55 TFSI S-LINE |MATRIX|3D-KAM|KLJUKA|AIR-MATIC|A20,40990.0,2021,170411 km,bencinski motor,avtomatski menjalnik,"2990 ccm, 250 kW / 340 KM",,
22221466,Audi Q7 55 TFSI e S-LINE |VIRTUAL|RADAR|500HP|KAMERA|ZRAK|,42990.0,2020,120031 km,hibridni pogon,avtomatski menjalnik,"2995 ccm, 290 kW / 394 KM",,
22723078,Audi A6 50e TFSI 4X4 |VIRTUAL|MATRIX|RADAR|HL-SED|3D-KAM|.,33990.0,2021,155621 km,hibridni pogon,avtomatski menjalnik,"1984 ccm, 220 kW / 299 KM",,
22780652,Audi A4 TFSI S-LINE |NARDO|KAMERA|NAVI|PANO|ALU18|TOP|,23990.0,2023,140400 km,bencinski motor,avtomatski menjalnik,"1984 ccm, 110 kW / 150 KM",,
22544873,Audi A3 Limuzina quattro 2.0 TDI S tronic |S-LINE|MATRIX|,18990.0,2018,183551 km,diesel motor,avtomatski menjalnik,"1968 ccm, 135 kW / 184 KM",,
22788429,Audi Q3 quattro 2.0 TDI,12800.0,2013,201231 km,diesel motor,avtomatski menjalnik,"1968 ccm, 130 kW / 177 KM",,
22788428,Audi A4 Avant 2.0 TDI,1350.0,2005,299890 km,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",,
22788352,Audi Q7 50 TDI QUATTRO-PANO-MATRIX-BANG-HLAJ+MASAŽA-COMP+,64990.0,2023,72100 km,diesel motor,avtomatski menjalnik,"2967 ccm, 210 kW / 286 KM",,
22788329,Audi A5 Sportback quattro 2.0 TDI Sport S tronic,19990.0,2018,249000 km,diesel motor,avtomatski menjalnik,"1968 ccm, 140 kW / 190 KM",,
22788322,Audi A6 Avant 40 TDI S tronic sp4rt 150kW webasto + priklop,21590.0,2018,102504 km,diesel motor,avtomatski menjalnik,"1968 ccm, 150 kW / 204 KM",,
22788320,Audi Q7 Q|50 TDI S-LINE|LED|NAVI|360KAM|ZRACNO|PRIKLOP,39990.0,2022,186748 km,diesel motor,avtomatski menjalnik,"2967 ccm, 210 kW / 286 KM",,
22788306,Audi Q5 quattro 2.0 TDI Business Plus- SAMO 175 TKM,13990.0,2014,175525 km,diesel motor,avtomatski menjalnik,"1968 ccm, 130 kW / 177 KM",,
22788249,Audi Q5 quattro 2.0 TDI,13000.0,2013,189000 km,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",,
22788245,Audi A4 Avant 2.0 TDI,6990.0,2013,251184 km,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",,
22788198,Audi A6 Avant 3.0TDI-S Line-S tronic-Matrix-Acc-Kamera-Navi,12950.0,2015,315200 km,diesel motor,avtomatski menjalnik,"2967 ccm, 160 kW / 218 KM",,
22788194,Audi A3 2.0 TDI ,2323.0,2006,408408 km,diesel motor,ročni menjalnik,"1968 ccm, 103 kW / 140 KM",,
22788180,Audi Q5 Sportback 35 TDI S line S tronic.NEMŠKI+4ALU.USNJE.LED.NAVI,32999.0,2022,102000 km,diesel motor,avtomatski menjalnik,"1968 ccm, 120 kW / 163 KM",,
22788145,Audi A6 Avant 40 TDI quattro Sport S tronic,20900.0,2019,185000 km,diesel motor,avtomatski menjalnik,"1968 ccm, 150 kW / 204 KM",,
22788144,Audi Q8 55 TFSI S-Line Matrix|BangOlufs|Kljuka|Pano|Kam360,59990.0,2023,73500 km,bencinski motor,avtomatski menjalnik,"2995 ccm, 250 kW / 340 KM",,
22692867,Audi A6 40 TDI quattro S-Line Sport S tronic,24990.0,2019,328471 km,diesel motor,avtomatski menjalnik,"1968 ccm, 150 kW / 204 KM",,
22788121,Audi A6 Avant 40 TDI quattro S tronic S line ,27990.0,2019,149800 km,diesel motor,avtomatski menjalnik,"1968 ccm, 150 kW / 204 KM",,
22788112,Audi A3 Limuzina 1.6 TDI clean diesel Ambiente,10690.0,2015,15300 km,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",,
22523276,Audi A5 Q 3.0TFSI 400HP SUPERCHARGED|VELIK SERVIS|CAR PLAY,15700.0,2015,221500 km,bencinski motor,avtomatski menjalnik,"2995 ccm, 295 kW / 401 KM",,
22788045,Audi A4 2.0 TDI DPF,6500.0,2012,258200 km,diesel motor,ročni menjalnik,"1968 ccm, 105 kW / 143 KM",,
22026948,Audi S8 4.0 TFSI QUATRO S LINE MATRIX 360 ZRACNO VZM,52990.0,2021,171000 km,bencinski motor,avtomatski menjalnik,"3990 ccm, 420 kW / 571 KM",,
21777504,Audi S6 3.0 V6 TDI-Q-S LINE-MATRIX-360-BANG O-AMBIENT,53990.0,2024,18000 km,diesel motor,avtomatski menjalnik,"2967 ccm, 253 kW / 344 KM",,
22728778,Audi A7 50 TDI-Q-S7 LOOK-LUFT-NIGHT V-SOFT-PANO-B O-360KAM,31990.0,2018,213000 km,diesel motor,avtomatski menjalnik,"2967 ccm, 210 kW / 286 KM",,
22788008,Audi A4 1.9 TDI SLO POREKLO NA OBROKE ,4500.0,2005,285000 km,diesel motor,ročni menjalnik,"1896 ccm, 85 kW / 116 KM",,
22787999,Audi S7 Sportback quattro 4.0 TFSI S-tronic NA OBROKE,25900.0,2013,275000 km,bencinski motor,avtomatski menjalnik,"3993 ccm, 309 kW / 420 KM",,
22787993,Audi Q8 50TDI|Quattro|S-Line|Matrix|Pano|Zračno|ACC|22Col.,56990.0,2021,131000 km,diesel motor,avtomatski menjalnik,"2967 ccm, 210 kW / 286 KM",,
22787991,Audi A3 1.8 TFSI TEMPOMAT AVT. KLIMA GRETJE SEDEŽEV ALU 17,5490.0,2010,211000 km,bencinski motor,ročni menjalnik,"1798 ccm, 118 kW / 160 KM",,
22767948,Audi A6 Avant 40 TDI qu S tronic S-LINE|MATRIX|ACC|HUD|KAM|WEBAS,33990.0,2022,111000 km,diesel motor,avtomatski menjalnik,"1968 ccm, 150 kW / 204 KM",,
21448521,Audi Q5 40 TDI qu S tronic S-LINE|MATRIX|KAM|KEYLES|ALU|F1,,2022,108000 km,diesel motor,avtomatski menjalnik,"1968 ccm, 150 kW / 204 KM",,
22787969,Audi Q5 40 TD qu S tronic S-LINE|MATRIX|ACC|KAM|PRIKLOP|F1,40990.0,2023,69000 km,diesel motor,avtomatski menjalnik,"1968 ccm, 150 kW / 204 KM",,
22768225,Audi RS Q8 4.0 TFSI,205481.0,2024,45000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
21961729,Audi RS Q8 4.0 TFSI qu|MATRIX|ACC|HUD|360°|KERAMIKA|DYNAMIK-P,114990.0,2024,34000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22575175,Audi RS Q8 4.0+TFSI+Q+600+KM+SOFT+23C+PANO+KAM+ACC+HUD+MATRIX,124900.0,2024,18200 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22779358,Audi RS Q8 exclusive-kupljen v SLO-PPF-Akrapovič-305 km h,105000.0,2021,45000 km,bencinski motor,avtomatski menjalnik,"4000 ccm, 441 kW / 600 KM",,
22467287,Audi RS Q8 Matrix LED zračn.vzmet. Headup keram.zavore kljuka,94900.0,2023,76698 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22761424,Audi RS Q8 quattro Tiptronic|Matrix|Acc|Hud|PanoHlajenje|B O,82990.0,2021,138500 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22228187,Audi RS Q8 RSQ8 TFSI quattro tiptronic 441kW,104990.0,2022,60000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
20243801,Audi RS Q8 RSQ8 TFSI quattro tiptronic 441kW,124900.0,2021,93000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
20960928,Audi RS Q8 RSQ8 TFSI quattro tiptronic 441kW,88000.0,2020,138000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
20274827,Audi RS Q8 TFSI quattro-ACC-SOFT-BANGOLUFSEN-PANORAMA-ALU23,109900.0,2023,72400 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22501266,Audi RS6 Avant TFSI Tiptronic,77000.0,2020,,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22435698,Audi RS6 Avant TFSI Tiptronic ALU 22 soft-Close,88990.0,2021,149800 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22338726,Audi RS6 Avant ,105000.0,2022,48000 km,bencinski motor,avtomatski menjalnik,"3999 ccm, 441 kW / 600 KM",,
22634632,Audi RS6 Avant ,115000.0,2021,49000 km,bencinski motor,avtomatski menjalnik,"3900 ccm, 441 kW / 600 KM",,
22441485,Audi RS6 Avant ,74900.0,2020,118277 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22548213,Audi RS6 Avant ,79500.0,2019,89923 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22690980,Audi RS6 Avant 4.0TFSI-Q-ACC-PANOR-LASER-ZRAČNO-360KAM-BANG-22C-,89950.0,2022,89000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
20945419,Audi RS6 Avant DRC.Pano.B O.360-kam.LED.Keramika.Soft C.AKRAPOVIČ,94990.0,2021,97900 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
21846455,Audi RS6 Avant RS6 TFSI Quattro Tiptronic ,89800.0,2020,154026 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
20683628,Audi RS6 Avant RS6 TFSI quattro tiptronic 441kW,89500.0,2021,48000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22787625,Audi RS6 Avant RS6-TFSI-QUATRRO-ACC-KAM-360-4x-GRETJE-SED-AMBIENT,69950.0,2020,145000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22633829,Audi RS6 Avant TFSI Quattro,98000.0,2023,105000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22598519,Audi RS6 Avant TFSI quattro ,86800.0,2022,96980 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
20815061,Audi RS6 Avant TFSI quattro tiptronic 441kW,117000.0,2021,80000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22699181,Audi RS6 Avant TFSI Tiptronic,89980.0,2021,66000 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22631210,Audi RS6 Avant TFSI Tiptronic ALU 22 soft-Close,88990.0,2021,149800 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22723693,Audi RS6 Avant TFSI Tiptronic HD Matrix 360 kamera ambient. osvet,84990.0,2020,118091 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
22779168,Audi RS6 Avant TFSI Tiptronic Quattro,89800.0,2020,154026 km,bencinski motor,avtomatski menjalnik,"3996 ccm, 441 kW / 600 KM",,
